scenario_id,going straight,stationary,turning
637f20cafde22ff8,27,15,8
8d3dcbce25f90722,6,14,2
96a60f7d26ef7d9b,8,3,2
e2b414fec3fa25c4,12,6,6
ebb1b4c31b5f0cb8,7,11,1
dbc643b47efe18fa,12,15,2
6d26f45f3f235a1f,21,2,0
15689b54e61e932b,20,8,5
c5185563a4dc0069,5,13,3
81e6d307726194ce,25,17,2
4a502a2d2e49c971,18,17,5
865c089fac25922d,9,10,10
a874319ee8a97dbd,11,6,7
f7e258ca565274d1,28,0,1
50e4d7bdfe6c1b42,46,16,9
9cb0cd5b19695e36,17,26,13
bc8fb110c1357598,7,12,1
6bdceecbf2416202,11,2,2
d8611755276340dd,27,29,11
1db10cc364577d2e,11,21,3
c1ada0034d4c9cb7,6,3,2
d005241aae771f26,2,0,2
8d76dfd3e1678f2e,4,1,5
65476fed6400c170,10,10,0
dd94c909308d6382,10,15,1
d5b9cb8df51ad53a,27,12,2
af1d93842f65f1da,27,39,7
43f06b0743dc9355,7,23,8
5fdfc4b028104cf2,27,52,5
9eeda96c15533573,16,7,10
4881c92efb0a9267,13,13,8
366a9c2a6c8bc2ec,50,54,6
f657759cb4ebcf05,12,3,7
8a2da607c8d3a58f,4,1,4
a0a6ddda485f05f7,33,64,4
c4d5e604831be5ad,12,14,6
8812ee96dcc98667,14,40,7
43a351577b5cb5c8,29,21,14
6c9d1f9ab84e5bfc,1,5,3
1cceeca88742faef,11,13,2
604ba25f74f80580,11,0,1
c45f2781605c47f0,20,0,1
d0d883a1a776ef0c,5,1,9
b1ea81080b296066,23,33,9
ea5096f16459ad87,57,77,1
6b23e41d2ddaf3a7,22,7,6
b2768802f55ed18f,21,15,7
8ae319140856156f,27,6,3
9c2a35743c4d2457,29,20,3
5e74b2abfc51c947,2,0,1
8d1071b28e13c30b,3,3,12
41b3294dfd7de495,20,23,5
e3713ea0791aefc9,17,21,2
54f3927cea006f56,7,0,1
1b39c10cf61a6009,34,0,0
fd6dc9c3a693d674,19,12,7
b6f82b27427a175e,12,5,21
4583c1176b009e5a,12,4,9
2d8f02d2508daee1,7,6,2
37978882a07c027,21,34,2
1d849072f0808b28,2,0,3
e7977fb2bd4639ed,13,15,13
bb3a5b7564f68e99,10,8,15
e638b188c59f2078,19,51,2
7fe52c046fccf339,10,12,4
49d434ab3eb50fd2,22,6,3
4b573654915c8376,4,25,2
328cf04d1214de9e,19,19,7
c272da07b3fd55f2,5,1,6
3eaa1311091d8ee5,10,11,1
7748410e3717db60,16,2,1
f3b2459ccaf463ce,25,18,15
45281e8f74fb0348,15,8,10
1ca644ec1d374867,47,63,6
d170af8ad5941c0d,27,4,12
bae43c65b4a39ef,4,1,1
539ec3296107e0cb,54,67,0
99a2261dd0184d3a,7,0,1
6a81daad49b61275,26,8,3
449bdd7635be30e3,10,11,4
782a45425df0f0cb,36,68,5
fe7828ae1b5615f5,12,13,7
9d2136a568d16f43,17,20,2
aba24e8077edeac2,8,4,4
a7e98541b69b49ee,6,22,3
729d1c17d450ed2e,24,4,14
d1fc6942b57bbe03,19,14,2
e8ff1a592226f954,3,3,3
6179e7a2c28597d4,17,20,9
a79a1bc83fed8610,5,0,2
fe5e10265b671b6c,9,22,3
dfe9a89a04dfb686,8,9,6
647b6096e8ebfa92,29,1,2
21958196868ae88d,3,2,2
a724c227156cc318,18,2,3
e16b3105db5e931f,9,15,5
cfd06f0506996e87,17,7,0
c22ccbaa20310ccc,11,36,9
d9ae9ae5ec750434,15,22,4
cb0b3d87a91bf20c,26,9,3
